IssTypID,SubIssTypid,SubIssTyp
79,1,Activation of Facility
78,2,Activation Related
94,3,Activation/Deactivation/Other VAS Issues
95,4,Activation/Deactivation/Other VAS Requests
1,5,Additional Wiring
2,5,Additional Wiring
74,7,Appointment for Provisioning
64,8,Behaviour Issues
10,9,Benefits Dispute
29,10,Bill Copy/Details-Received Late
5,11,Bill or Itemised Bill View
23,12,Billing Related
24,13,Billing Related Request
52,13,Billing Related Request
61,15,Blood Relation
62,15,Blood Relation
33,17,BOD
46,18,Broadcast TV Related
33,19,Browsing - Marketing / VAS Related Issue
33,20,Browsing Related
38,20,Browsing Related
95,22,Call Alert/Call Waiting
10,23,Call Charges Dispute
32,24,Call Drop
89,24,Call Drop
94,26,Call Forwarding-Unconditional
95,26,Call Forwarding-Unconditional
92,28,Campaigns Related
83,29,CASH/CHEQUE/CREDIT CARD
22,30,CC to be Charged
60,31,Centrex Code Change
94,32,Centrex Facility
95,32,Centrex Facility
68,34,Cheque/DD to be Made in New Name
44,35,CLI Instrument
94,36,CLIP Facility
95,36,CLIP Facility
71,38,Coil Cord
17,39,Collection Call Related Issue
15,40,Collection Center Staff Misbehaviour
15,41,Collection Channels Related-Issues
17,42,Collection Visit Related Issue
64,43,Commitment Issues
80,44,Commitment Related
5,45,Complaint/Request Status View
41,46,Consolidated Billing
40,47,Consolidated Billing Not Enabled
44,48,Cordless Instrument
72,48,Cordless Instrument
74,50,CPE Collection
74,51,CPE or Hardware
20,52,CPE-Hardware-Instrument Details
45,53,Create or Delete Email
34,54,Cross Connection
63,55,Current Payment Not Posted
20,56,Customer Correspondence
93,57,DATA RELATED VAS
79,58,Deactivation of Facility
78,59,Deactivation Related
89,60,Delay in Call Set Up
14,61,Delay in Cancellation Request Processing
89,62,Delay in Dial Tone
48,63,Delivery Related
68,64,Deposit Refund
33,65,Destination Site Related
34,66,Different Dialtone
82,67,Different Room-Same Inst Add
27,68,Different Room-Same Install Add
39,69,Disconnction Request Due to Falcon2 Migration
39,70,Disconnection Request
34,71,Disturbance in Line
20,72,Documents and Manuals
30,72,Documents and Manuals
80,74,Documents Related
81,74,Documents Related
58,76,DP Damaged-Restoration
57,77,DP Not Rehabilitated
56,78,DP Related
58,79,DP Shifting
57,80,DP Shifting Improperly Done
57,81,DP Shifting Not Done
15,82,Drop Boxes Clearence
23,83,DSL Billing Related
38,84,DSL Dial Up Backup Service
38,85,DSL login password reset
45,85,DSL login password reset
24,87,DSL Related Billing Request
93,88,DSL VAS Related
94,88,DSL VAS Related
7,90,Duplicate Bill
73,90,Duplicate Bill
94,93,Dynamic Lock
95,93,Dynamic Lock
94,95,Dynamic Lock Password Reset
95,95,Dynamic Lock Password Reset
34,97,Echo
76,98,ECS Cancellation
86,98,ECS Cancellation
88,100,ECS Not Debited
76,101,ECS Updation
86,101,ECS Updation
87,101,ECS Updation
45,104,Email Password Reset
37,105,Email Password Reset-Not Done
33,106,"Email-""Unable to receive"""
33,107,"Email-""Unable to send """
34,108,Error Message-System Busy
95,109,Explicit Call Transfer
25,110,Field Provisioning
42,111,Field Provisioning-Appointment Not Kept
38,112,Field Visit Required
26,113,Forced Cancellation-Pre Installation
26,114,Forced Churn-Post Installation
37,115,Frequent Disconnection
80,116,FSO Related
25,117,Full Line Activation
34,118,Half Ring or False Ring
94,119,Hello Tunes
95,119,Hello Tunes
72,121,Hold Shifting Request
9,122,Home Pay Collection
